[Fri Apr 28 11:56:16.804611 2023] [php7:notice] [pid 24945] [client 10.10.0.24:42292] PHP Notice:  Undefined property: App\\Controllers\\HomeController::$photo in /var/www/bitrix24LocAPP/resource/veiw/first/index.php on line 117
[Fri Apr 28 11:56:16.804657 2023] [php7:notice] [pid 24945] [client 10.10.0.24:42292] PHP Notice:  Undefined property: App\\Controllers\\HomeController::$personal in /var/www/bitrix24LocAPP/resource/veiw/first/index.php on line 121
[Fri Apr 28 11:56:16.804676 2023] [php7:warn] [pid 24945] [client 10.10.0.24:42292] PHP Warning:  Invalid argument supplied for foreach() in /var/www/bitrix24LocAPP/resource/veiw/first/index.php on line 121
[Fri Apr 28 11:56:16.804688 2023] [php7:notice] [pid 24945] [client 10.10.0.24:42292] PHP Notice:  Undefined property: App\\Controllers\\HomeController::$jobs in /var/www/bitrix24LocAPP/resource/veiw/first/index.php on line 125
[Fri Apr 28 11:56:16.804700 2023] [php7:warn] [pid 24945] [client 10.10.0.24:42292] PHP Warning:  Invalid argument supplied for foreach() in /var/www/bitrix24LocAPP/resource/veiw/first/index.php on line 125
[Fri Apr 28 11:56:16.804711 2023] [php7:notice] [pid 24945] [client 10.10.0.24:42292] PHP Notice:  Undefined property: App\\Controllers\\HomeController::$educs in /var/www/bitrix24LocAPP/resource/veiw/first/index.php on line 130
[Fri Apr 28 11:56:16.804722 2023] [php7:warn] [pid 24945] [client 10.10.0.24:42292] PHP Warning:  Invalid argument supplied for foreach() in /var/www/bitrix24LocAPP/resource/veiw/first/index.php on line 130
[Fri Apr 28 11:56:16.804734 2023] [php7:notice] [pid 24945] [client 10.10.0.24:42292] PHP Notice:  Undefined property: App\\Controllers\\HomeController::$character in /var/www/bitrix24LocAPP/resource/veiw/first/index.php on line 135
[Fri Apr 28 11:56:16.804745 2023] [php7:warn] [pid 24945] [client 10.10.0.24:42292] PHP Warning:  Invalid argument supplied for foreach() in /var/www/bitrix24LocAPP/resource/veiw/first/index.php on line 135
[Fri Apr 28 11:56:16.804756 2023] [php7:notice] [pid 24945] [client 10.10.0.24:42292] PHP Notice:  Undefined property: App\\Controllers\\HomeController::$skills in /var/www/bitrix24LocAPP/resource/veiw/first/index.php on line 139
[Fri Apr 28 11:56:16.804767 2023] [php7:warn] [pid 24945] [client 10.10.0.24:42292] PHP Warning:  Invalid argument supplied for foreach() in /var/www/bitrix24LocAPP/resource/veiw/first/index.php on line 139
[Fri Apr 28 11:56:16.804778 2023] [php7:notice] [pid 24945] [client 10.10.0.24:42292] PHP Notice:  Undefined property: App\\Controllers\\HomeController::$phone in /var/www/bitrix24LocAPP/resource/veiw/first/index.php on line 143
[Fri Apr 28 11:56:16.804790 2023] [php7:notice] [pid 24945] [client 10.10.0.24:42292] PHP Notice:  Trying to access array offset on value of type null in /var/www/bitrix24LocAPP/resource/veiw/first/index.php on line 143
[Fri Apr 28 11:56:16.804801 2023] [php7:notice] [pid 24945] [client 10.10.0.24:42292] PHP Notice:  Undefined property: App\\Controllers\\HomeController::$phone in /var/www/bitrix24LocAPP/resource/veiw/first/index.php on line 143
[Fri Apr 28 11:56:16.804813 2023] [php7:notice] [pid 24945] [client 10.10.0.24:42292] PHP Notice:  Trying to access array offset on value of type null in /var/www/bitrix24LocAPP/resource/veiw/first/index.php on line 143
